L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
0,0,66,14,13,-5,8191.0,1226.0,-735.0,-176.0,966.0,111.0,322.0
0,0,78,-25,-1,-5,8191.0,1672.0,-18.0,-15.0,867.0,-84.0,584.0
0,0,86,-29,-2,-4,8191.0,197.0,-244.0,734.0,870.0,-170.0,410.0
0,0,97,-29,-2,-5,8191.0,181.0,-23.0,876.0,893.0,-278.0,319.0
1,0,83,-29,-2,-5,8191.0,637.0,-367.0,484.0,824.0,-200.0,341.0
8,1,60,-29,-3,-4,1145.0,911.0,-324.0,553.0,757.0,-159.0,229.0
0,0,-16,-15,-3,0,8191.0,926.0,-312.0,136.0,824.0,-151.0,332.0
0,0,-13,-15,-2,2,8191.0,1012.0,-331.0,195.0,929.0,-238.0,338.0
0,0,-14,-15,-2,4,165.0,925.0,-396.0,-16.0,861.0,24.0,204.0
0,0,-4,-12,-2,0,165.0,-32.0,-161.0,1623.0,801.0,-180.0,-293.0
0,0,63,26,1,-5,1124.0,1604.0,-715.0,-658.0,1259.0,-305.0,334.0
3,0,65,-27,-2,-4,8191.0,259.0,-252.0,661.0,664.0,-263.0,297.0
7,0,58,-29,-2,-5,8191.0,652.0,-449.0,44.0,898.0,-131.0,394.0
7,0,71,-30,-2,-5,8191.0,852.0,-518.0,573.0,786.0,-408.0,232.0
10,1,59,-30,-3,-5,142.0,467.0,-322.0,448.0,595.0,-181.0,78.0
55,16,-13,-30,-3,-5,142.0,1850.0,-550.0,539.0,1353.0,-552.0,59.0
38,33,-16,-29,-3,-5,8191.0,1922.0,-730.0,104.0,1206.0,-502.0,263.0
3,0,-18,-17,-3,5,8191.0,771.0,-554.0,96.0,857.0,139.0,540.0
0,0,-18,-21,-3,4,8191.0,1003.0,-375.0,-4.0,924.0,-207.0,169.0
0,0,-18,-20,-3,3,8191.0,962.0,-289.0,156.0,964.0,-157.0,309.0
0,0,-15,-22,-2,2,8191.0,934.0,-165.0,166.0,877.0,-14.0,382.0
0,0,-11,-21,-3,7,8191.0,958.0,-184.0,310.0,801.0,-18.0,378.0
0,0,-10,-22,-3,3,95.0,777.0,-212.0,171.0,721.0,-184.0,120.0
0,0,-13,17,0,-5,1130.0,1736.0,-422.0,810.0,1576.0,85.0,43.0
0,0,40,23,9,-5,1130.0,1573.0,-419.0,-158.0,1037.0,-511.0,197.0
0,0,97,-23,-2,-5,1130.0,1339.0,-279.0,-21.0,753.0,-318.0,540.0
0,0,94,-29,-2,-5,1130.0,692.0,-486.0,886.0,933.0,-13.0,440.0
0,0,96,-29,-2,-5,1155.0,731.0,-314.0,645.0,844.0,-265.0,224.0
3,0,87,-30,-3,-4,1155.0,423.0,-295.0,724.0,751.0,-147.0,99.0
32,7,-5,-30,-3,-5,1155.0,684.0,-315.0,491.0,721.0,-170.0,-69.0
84,27,-14,-30,-2,-5,1155.0,800.0,-84.0,773.0,1423.0,-324.0,8.0
19,16,-17,-22,-3,1,1155.0,1007.0,-223.0,413.0,956.0,-313.0,366.0
0,0,-17,-19,-3,1,1155.0,979.0,-197.0,222.0,969.0,-164.0,200.0
0,0,-17,-15,-2,0,1155.0,896.0,-186.0,-69.0,785.0,-262.0,330.0
0,0,-15,-20,-2,0,1155.0,935.0,-318.0,166.0,873.0,-70.0,309.0
0,0,-13,-21,-2,6,8191.0,1068.0,-249.0,184.0,878.0,-54.0,328.0
0,0,-15,-23,-2,3,223.0,-723.0,195.0,460.0,586.0,-147.0,20.0
-1,0,4,15,0,-4,962.0,1974.0,-478.0,748.0,1580.0,-189.0,224.0
0,0,55,9,11,-5,1114.0,1375.0,-751.0,-520.0,858.0,-50.0,317.0
0,0,90,-28,-1,-5,1259.0,1014.0,-138.0,657.0,905.0,-289.0,311.0
0,0,101,-29,-3,-5,1259.0,508.0,-392.0,1002.0,895.0,-91.0,395.0
0,0,117,-30,-2,-5,1010.0,596.0,-259.0,823.0,832.0,-316.0,233.0
0,0,129,-29,-3,-5,1010.0,951.0,-729.0,913.0,809.0,-212.0,83.0
20,4,16,-30,-3,-5,292.0,849.0,-285.0,667.0,870.0,-317.0,70.0
98,26,-15,-30,-3,-4,292.0,993.0,-272.0,496.0,1458.0,-214.0,-306.0
29,30,-15,-24,-3,-1,292.0,1027.0,-689.0,152.0,934.0,-478.0,371.0
0,1,-17,-23,-3,4,8191.0,813.0,-157.0,270.0,951.0,-155.0,163.0
0,0,-18,-22,-2,5,8191.0,993.0,-88.0,125.0,838.0,-140.0,263.0
0,0,-17,-20,-2,1,8191.0,944.0,-161.0,159.0,897.0,-136.0,262.0
0,0,-16,-19,-3,0,8191.0,967.0,-196.0,137.0,867.0,-44.0,389.0
0,0,-13,-22,-3,3,8191.0,750.0,-257.0,760.0,556.0,-68.0,-16.0
0,0,-4,0,-1,-4,8191.0,346.0,-303.0,1559.0,1392.0,53.0,-78.0
0,0,20,28,7,-5,1092.0,1694.0,-365.0,-80.0,1073.0,-104.0,112.0
0,0,76,-12,0,-5,1158.0,347.0,-263.0,-437.0,775.0,-217.0,520.0
0,0,96,-28,-2,-5,1173.0,167.0,-292.0,219.0,907.0,-208.0,350.0
0,0,88,-30,-3,-5,1086.0,473.0,-389.0,556.0,849.0,-169.0,406.0
0,0,104,-29,-3,-4,1016.0,725.0,-331.0,950.0,811.0,-294.0,296.0
3,0,94,-29,-3,-5,117.0,708.0,-541.0,607.0,673.0,-95.0,68.0
51,15,-4,-30,-3,-5,117.0,959.0,-265.0,295.0,1166.0,-451.0,33.0
37,30,-14,-31,-2,-4,117.0,588.0,-234.0,1061.0,1287.0,-91.0,16.0
3,0,-17,-22,-2,2,8191.0,1015.0,-117.0,123.0,796.0,28.0,509.0
0,0,-17,-23,-2,6,8191.0,988.0,-256.0,224.0,967.0,-108.0,208.0
0,0,-17,-21,-3,8,8191.0,1047.0,-332.0,162.0,984.0,-192.0,246.0
0,0,-15,-21,-3,5,8191.0,966.0,-265.0,308.0,912.0,-27.0,263.0
0,0,-13,-20,-3,4,130.0,489.0,-428.0,564.0,479.0,-102.0,-94.0
0,0,-1,12,0,-5,8191.0,748.0,-434.0,924.0,1235.0,65.0,-51.0
0,0,42,50,11,-5,1091.0,1630.0,-649.0,198.0,1316.0,-446.0,68.0
0,0,81,-15,0,-5,1134.0,501.0,46.0,-253.0,754.0,-280.0,536.0
5,0,69,-28,-2,-5,1234.0,75.0,-106.0,518.0,858.0,-257.0,330.0
6,1,73,-29,-3,-4,1153.0,375.0,-284.0,679.0,859.0,-275.0,292.0
7,2,81,-29,-2,-5,1109.0,668.0,-603.0,422.0,800.0,-265.0,309.0
19,6,38,-29,-3,-5,1109.0,1349.0,-302.0,238.0,620.0,-171.0,207.0
53,20,-14,-30,-2,-5,8191.0,577.0,-457.0,421.0,1170.0,-503.0,-155.0
34,40,-15,-29,-2,-5,8191.0,2693.0,-1735.0,84.0,1519.0,-324.0,126.0
5,1,-17,-22,-2,5,8191.0,829.0,-314.0,327.0,915.0,42.0,527.0
0,0,-17,-21,-3,2,8191.0,925.0,-272.0,172.0,962.0,-113.0,245.0
0,0,-17,-20,-2,1,8191.0,911.0,-288.0,139.0,964.0,-40.0,353.0
0,0,-15,-22,-2,6,8191.0,970.0,-371.0,79.0,892.0,-66.0,282.0
0,0,-13,-26,-2,7,111.0,719.0,-77.0,330.0,570.0,-84.0,-150.0
0,0,-4,-10,-2,-5,8191.0,492.0,-314.0,1408.0,1528.0,-165.0,5.0
0,0,42,22,4,-5,1074.0,1693.0,-504.0,-262.0,1145.0,-285.0,147.0
0,0,84,-18,0,-5,1076.0,300.0,-81.0,-306.0,658.0,-356.0,594.0
0,0,100,-28,-2,-5,1191.0,489.0,-182.0,557.0,1006.0,-222.0,387.0
0,0,102,-29,-2,-5,1110.0,758.0,-221.0,829.0,887.0,-350.0,288.0
0,0,101,-30,-3,-5,8191.0,541.0,-323.0,795.0,810.0,-272.0,181.0
18,4,11,-29,-2,-5,166.0,1266.0,-255.0,735.0,811.0,-147.0,35.0
85,24,-14,-30,-2,-5,166.0,695.0,-1.0,976.0,1426.0,-339.0,-222.0
