Time,L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
10:33:26.528,-2,-5,-53,-1,-1,1,54.0,785.0,1043.0,-299.0,-321.0,-412.0,1064.0
10:33:26.697,0,-2,-52,-4,-10,4,33.0,780.0,831.0,-147.0,-260.0,652.0,1131.0
10:33:26.804,-2,-4,-47,2,-9,0,36.0,1102.0,5.0,-119.0,-288.0,646.0,40.0
10:33:26.981,0,1,-41,9,-3,0,38.0,1960.0,419.0,-761.0,-172.0,824.0,1020.0
10:33:27.127,0,-1,29,-5,-21,-1,50.0,1106.0,-1216.0,423.0,-155.0,-124.0,1203.0
10:33:27.305,0,-3,17,-6,-17,-2,55.0,1358.0,453.0,-148.0,-27.0,374.0,790.0
10:33:27.409,6,2,-39,-6,-21,-2,54.0,597.0,737.0,-325.0,100.0,-193.0,792.0
10:33:27.581,13,5,-47,-5,-8,0,58.0,814.0,1237.0,-619.0,-220.0,522.0,1663.0
10:33:27.745,-1,-5,-51,-4,-12,9,54.0,855.0,663.0,-206.0,-632.0,292.0,1190.0
10:33:27.902,-2,-5,-50,0,-6,2,38.0,758.0,597.0,-461.0,-129.0,573.0,493.0
10:33:28.081,-1,-5,-44,6,-6,0,42.0,1073.0,267.0,-273.0,174.0,514.0,721.0
10:33:28.180,2,4,-10,9,-4,-1,42.0,1270.0,12.0,-84.0,-71.0,-580.0,1348.0
10:33:28.331,0,0,45,-6,-19,-2,54.0,1355.0,-11.0,234.0,-11.0,-144.0,795.0
10:33:28.500,0,-3,34,-6,-18,-1,52.0,1000.0,487.0,-83.0,93.0,146.0,527.0
10:33:28.677,7,5,-38,-6,-19,-1,54.0,525.0,570.0,-647.0,170.0,376.0,995.0
10:33:28.759,11,9,-50,-5,-6,0,52.0,1240.0,750.0,-344.0,66.0,1630.0,1117.0
10:33:28.950,-1,-5,-54,-3,-5,3,56.0,839.0,360.0,-383.0,-286.0,278.0,1203.0
10:33:29.123,-2,-6,-51,-1,-8,2,38.0,540.0,451.0,-399.0,-87.0,330.0,339.0
10:33:29.213,-1,-3,-42,13,-4,-1,42.0,943.0,681.0,-204.0,582.0,2117.0,1534.0
10:33:29.365,3,5,-33,6,-4,-1,43.0,1338.0,-434.0,319.0,-207.0,-7.0,1131.0
10:33:29.531,1,0,-1,-4,-18,-1,42.0,844.0,-166.0,254.0,-19.0,244.0,859.0
10:33:29.705,0,-2,8,-2,-14,-1,59.0,1147.0,567.0,-558.0,68.0,143.0,506.0
10:33:29.812,1,0,-26,-5,-16,0,45.0,623.0,732.0,-449.0,374.0,-419.0,852.0
10:33:29.964,16,9,-42,-6,-11,5,51.0,746.0,1064.0,-241.0,-139.0,-58.0,2249.0
10:33:30.154,-1,-5,-55,-4,-6,4,51.0,867.0,116.0,-562.0,-467.0,-952.0,1371.0
10:33:30.301,-1,-5,-52,-2,-10,1,44.0,797.0,1000.0,-458.0,91.0,-386.0,-169.0
10:33:30.484,0,-1,-44,2,-8,1,47.0,1336.0,447.0,-389.0,-1035.0,-875.0,2459.0
10:33:30.577,0,-3,29,1,-8,-1,46.0,1770.0,77.0,-179.0,-113.0,644.0,959.0
10:33:30.751,1,0,12,-5,-21,-2,59.0,826.0,-753.0,311.0,-40.0,-229.0,720.0
10:33:30.920,5,3,-43,-5,-19,0,58.0,1356.0,347.0,-182.0,25.0,-119.0,994.0
10:33:31.086,13,2,-44,-7,-18,-1,57.0,855.0,3958.0,-2926.0,683.0,1023.0,1879.0
10:33:31.175,3,-4,-54,-3,-3,0,54.0,1029.0,858.0,-540.0,-422.0,-288.0,953.0
10:33:31.356,2,-2,-54,-2,-7,0,43.0,732.0,852.0,-273.0,-213.0,437.0,1129.0
10:33:31.514,0,-7,-49,0,-9,0,38.0,792.0,549.0,-124.0,169.0,82.0,201.0
10:33:31.681,0,-3,-23,4,-9,-1,41.0,1872.0,353.0,-626.0,282.0,1310.0,3166.0
10:33:31.847,-1,-2,62,-4,-12,-2,43.0,1543.0,-697.0,176.0,-271.0,-794.0,1964.0
10:33:32.015,2,2,-15,-6,-17,-1,52.0,1305.0,-82.0,25.0,-105.0,1511.0,405.0
10:33:32.098,7,0,-47,-5,-19,-1,58.0,1185.0,605.0,-926.0,131.0,-410.0,420.0
10:33:32.271,9,6,-51,-4,-5,0,45.0,823.0,963.0,-838.0,462.0,1217.0,1407.0
10:33:32.381,-1,-7,-54,0,-6,3,44.0,816.0,836.0,-580.0,-194.0,-220.0,1011.0
10:33:32.536,-2,-7,-48,-4,-14,4,40.0,903.0,463.0,76.0,-227.0,233.0,429.0
10:33:32.728,-1,-6,-48,9,-6,-1,44.0,1263.0,742.0,-694.0,91.0,1437.0,1733.0
10:33:32.887,0,2,-11,1,-6,-1,47.0,1549.0,-643.0,317.0,62.0,144.0,760.0
10:33:33.044,0,-1,52,-6,-17,-1,51.0,1805.0,1555.0,1058.0,62.0,-103.0,818.0
10:33:33.131,1,-1,-18,-6,-20,0,58.0,1288.0,-16.0,18.0,166.0,267.0,825.0
10:33:33.320,9,5,-35,-5,-17,0,57.0,1214.0,479.0,-1048.0,251.0,168.0,747.0
10:33:33.495,6,3,-52,-5,-6,3,57.0,714.0,684.0,-554.0,-416.0,-320.0,959.0
10:33:33.583,-1,-5,-52,-1,-5,1,57.0,583.0,519.0,-480.0,52.0,601.0,737.0
10:33:33.754,1,-4,-47,-3,-13,0,41.0,841.0,846.0,-210.0,-55.0,285.0,327.0
10:33:33.899,0,-2,-38,7,-8,-2,38.0,1443.0,912.0,142.0,-128.0,1356.0,2307.0
10:33:34.083,0,1,-18,-2,-15,-1,51.0,702.0,-91.0,-293.0,-127.0,-645.0,1723.0
10:33:34.244,0,1,-14,-2,-14,-1,56.0,1819.0,271.0,-119.0,-12.0,272.0,898.0
10:33:34.340,1,3,-34,-5,-16,-1,60.0,1084.0,1044.0,-539.0,284.0,236.0,775.0
10:33:34.519,12,2,-46,-5,-14,0,45.0,1727.0,12.0,-427.0,-539.0,-738.0,3087.0
10:33:34.691,-1,-5,-51,-3,-7,9,50.0,818.0,488.0,-548.0,-358.0,194.0,1411.0
10:33:34.853,0,-6,-50,-3,-8,3,37.0,693.0,688.0,-643.0,-113.0,251.0,533.0
10:33:34.957,-1,-6,-47,3,-6,0,38.0,806.0,429.0,-533.0,145.0,475.0,141.0
10:33:35.109,0,-1,-49,7,-2,-2,40.0,1770.0,426.0,-615.0,-314.0,307.0,1171.0
10:33:35.292,5,4,-37,-5,-21,-1,58.0,1340.0,-1506.0,595.0,-84.0,965.0,609.0
10:33:35.453,1,0,-29,0,-9,-1,59.0,1132.0,-399.0,-108.0,-82.0,911.0,1068.0
10:33:35.550,5,-1,-28,-6,-21,-2,58.0,-1138.0,504.0,971.0,237.0,-812.0,1540.0
10:33:35.701,0,-6,-49,-4,-8,9,49.0,1481.0,877.0,0.0,323.0,2052.0,4671.0
10:33:35.881,-2,-4,-40,-2,-7,2,50.0,511.0,591.0,-42.0,287.0,1140.0,-65.0
10:33:36.049,-2,0,-44,0,-8,2,42.0,1124.0,968.0,138.0,20.0,232.0,1413.0
10:33:36.144,1,2,-11,-4,-12,-1,48.0,1311.0,-828.0,119.0,424.0,-77.0,1262.0
10:33:36.327,1,-2,4,-5,-18,0,58.0,1028.0,200.0,-227.0,345.0,-466.0,541.0
10:33:36.495,8,-2,-43,-5,-16,0,54.0,503.0,694.0,-260.0,273.0,-45.0,169.0
10:33:36.664,-2,-5,-54,-1,-1,5,55.0,666.0,1205.0,-78.0,-332.0,-446.0,1033.0
10:33:36.835,-2,-5,-49,0,-8,4,57.0,454.0,849.0,-181.0,-199.0,218.0,76.0
10:33:36.910,-2,-4,-49,8,-11,0,46.0,1047.0,683.0,-92.0,482.0,1782.0,1207.0
10:33:37.074,0,0,31,-5,-16,-2,52.0,1209.0,-788.0,-160.0,294.0,84.0,118.0
10:33:37.252,-2,-5,78,-4,-19,-1,60.0,1412.0,453.0,92.0,71.0,104.0,570.0
10:33:37.417,2,1,-8,-6,-16,0,59.0,984.0,486.0,-486.0,391.0,175.0,1068.0
10:33:37.525,10,-1,-41,-7,-14,0,58.0,430.0,1290.0,-172.0,218.0,1603.0,983.0
10:33:37.692,0,-4,-54,-1,-1,3,52.0,618.0,689.0,-273.0,-541.0,-206.0,1587.0
10:33:37.856,-1,-7,-50,-3,-13,2,49.0,577.0,916.0,-439.0,-72.0,338.0,-377.0
10:33:38.027,-1,-5,-48,4,-8,2,42.0,1130.0,903.0,156.0,557.0,1583.0,932.0
10:33:38.122,0,1,-3,-3,-14,-1,48.0,1373.0,-1079.0,324.0,111.0,-146.0,87.0
10:33:38.272,2,1,-8,-5,-17,0,48.0,970.0,363.0,-445.0,215.0,-211.0,601.0
10:33:38.462,10,-1,-46,-6,-14,0,57.0,446.0,993.0,-248.0,56.0,773.0,762.0
10:33:38.630,0,-4,-53,0,-1,3,43.0,1357.0,1195.0,165.0,-710.0,-369.0,3396.0
10:33:38.724,-2,-6,-51,0,-6,3,44.0,785.0,472.0,-562.0,-209.0,77.0,519.0
10:33:38.878,-2,-5,-47,6,-12,-1,38.0,819.0,376.0,-313.0,140.0,289.0,268.0
10:33:39.062,-1,-6,-53,5,-5,-1,41.0,2086.0,51.0,-148.0,-1834.0,-1160.0,3958.0
10:33:39.223,2,-2,15,-6,-20,-1,48.0,2155.0,-1242.0,886.0,-617.0,221.0,1941.0
10:33:39.314,6,0,-46,-5,-19,0,61.0,105.0,688.0,-31.0,134.0,126.0,-208.0
10:33:39.473,12,1,-48,-5,-14,-1,49.0,1295.0,554.0,-184.0,216.0,634.0,1109.0
10:33:39.643,-1,-6,-54,-1,-6,4,50.0,588.0,1210.0,-728.0,-64.0,-222.0,1055.0
10:33:39.840,-1,-5,-51,-2,-12,5,43.0,708.0,811.0,-322.0,90.0,748.0,410.0
10:33:39.989,-1,-6,-49,10,-6,0,43.0,1110.0,373.0,-232.0,-72.0,697.0,286.0
10:33:40.157,3,3,-50,7,-4,-2,48.0,1645.0,-69.0,-411.0,14.0,-323.0,1178.0
10:33:40.245,3,2,0,-4,-19,-2,52.0,1250.0,54.0,457.0,9.0,650.0,1289.0
10:33:40.431,4,1,-14,-2,-14,-2,55.0,1175.0,502.0,-375.0,104.0,179.0,625.0
10:33:40.515,12,0,-45,-6,-21,-2,57.0,380.0,1205.0,-683.0,217.0,21.0,831.0
10:33:40.676,5,2,-51,-4,-8,0,59.0,1360.0,1100.0,-410.0,-626.0,-59.0,1977.0
10:33:40.861,-1,-6,-52,2,-8,1,59.0,718.0,649.0,-470.0,-302.0,215.0,958.0
10:33:41.028,-1,-6,-48,4,-13,0,45.0,1045.0,1032.0,-372.0,213.0,987.0,136.0
10:33:41.187,1,0,-47,10,-2,-1,43.0,1860.0,60.0,-409.0,-280.0,509.0,1337.0
10:33:41.281,2,2,12,-5,-18,-1,58.0,1794.0,-582.0,-16.0,-215.0,109.0,1704.0
10:33:41.446,2,0,-18,-4,-15,-1,63.0,1303.0,427.0,-64.0,8.0,-27.0,573.0
10:33:41.613,11,2,-44,-5,-20,-1,56.0,604.0,388.0,-536.0,197.0,-184.0,954.0
10:33:41.721,6,6,-53,-4,-8,2,45.0,1179.0,684.0,-438.0,-259.0,683.0,1601.0
10:33:41.893,0,-6,-54,0,-4,2,49.0,802.0,523.0,-470.0,-273.0,859.0,958.0
10:33:42.051,1,-3,-53,0,-13,1,39.0,632.0,686.0,-373.0,-160.0,196.0,456.0
10:33:42.214,-2,-4,-40,10,-1,0,43.0,1333.0,685.0,-91.0,-399.0,2208.0,2800.0
10:33:42.387,2,3,-24,0,-12,0,43.0,995.0,-982.0,505.0,68.0,112.0,1266.0
10:33:42.486,1,-1,10,-4,-19,-1,58.0,899.0,639.0,-383.0,-131.0,313.0,1488.0
10:33:42.665,2,-1,-4,-1,-15,-2,55.0,908.0,609.0,-214.0,-52.0,897.0,466.0
10:33:42.831,10,2,-42,-6,-20,-1,54.0,665.0,409.0,-249.0,100.0,-66.0,439.0
10:33:42.987,4,3,-53,-3,-6,5,51.0,891.0,533.0,-959.0,-302.0,807.0,1214.0
10:33:43.076,-1,-6,-53,-2,-7,4,33.0,799.0,548.0,-375.0,-272.0,-5.0,811.0
10:33:43.265,-2,-5,-50,0,-10,2,44.0,683.0,1263.0,-213.0,181.0,743.0,92.0
10:33:43.414,0,0,-37,16,-1,-2,44.0,1602.0,1051.0,35.0,494.0,1861.0,149.0
10:33:43.523,1,1,-18,-3,-18,-2,52.0,961.0,-109.0,-195.0,-160.0,-44.0,1869.0
10:33:43.697,1,0,-7,-2,-15,-2,58.0,1167.0,478.0,127.0,-116.0,67.0,1133.0
10:33:43.855,0,-2,-17,-4,-15,-1,58.0,1002.0,326.0,-204.0,68.0,487.0,380.0
